"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 02:26:29 GET 2025","Fri Jul 04 02:26:30 GET 2025","627","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №2",""
"broken","Fri Jul 04 02:25:04 GET 2025","Fri Jul 04 02:25:17 GET 2025","12244","tests","test_order","TestOrder","","","Тест заказа самоката через bottom",""
"passed","Fri Jul 04 02:25:26 GET 2025","Fri Jul 04 02:25:26 GET 2025","512","tests","test_order","TestOrder","","","Проверка перехода по логотипу Самоката",""
"broken","Fri Jul 04 02:25:37 GET 2025","Fri Jul 04 02:25:52 GET 2025","15646","tests","test_order","TestOrder","","","Проверка перехода по логотипу Яндекса",""
"passed","Fri Jul 04 02:26:15 GET 2025","Fri Jul 04 02:26:16 GET 2025","731","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №1",""
"passed","Fri Jul 04 02:26:44 GET 2025","Fri Jul 04 02:26:45 GET 2025","635","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №3",""
"passed","Fri Jul 04 02:26:03 GET 2025","Fri Jul 04 02:26:04 GET 2025","560","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №0",""
"passed","Fri Jul 04 02:27:30 GET 2025","Fri Jul 04 02:27:30 GET 2025","536","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №7",""
"passed","Fri Jul 04 02:27:09 GET 2025","Fri Jul 04 02:27:10 GET 2025","532","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №5",""
"passed","Fri Jul 04 02:26:57 GET 2025","Fri Jul 04 02:26:57 GET 2025","554","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №4",""
"broken","Fri Jul 04 02:24:29 GET 2025","Fri Jul 04 02:24:29 GET 2025","0","tests","test_order","TestOrder","","","Тест заказа самоката через top",""
"passed","Fri Jul 04 02:27:21 GET 2025","Fri Jul 04 02:27:21 GET 2025","540","tests","test_questions","TestQuestions","","","Проверка ответа на вопрос №6",""
